size0,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50,size51,size52,size53,size54,size55,size56,size57,size58,size59,size60,size61,size62,size63,size64,size65,size66,size67,size68,size69,size70,size71,size72,size73,size74,size75,size76,size77,size78,size79,size80,size81,size82,size83,size84,size85,size86,size87,size88,size89,size90,size91,size92,size93,size94,size95,size96,size97,size98,size99,size100,size101,size102,size103,size104,size105,size106,size107,size108,size109,size110,size111,size112,size113,size114,size115,size116,size117,size118,size119,size120,size121,size122,size123,size124,size125,size126,size127,size128,size129,size130,size131,size132,size133,size134,size135,size136,size137,size138,size139,size140,size141,size142
135584,66688,65456,68264,63992,72968,79448,59848,56224,70736,75352,411512,72576,85960,94264,89016,88816,93952,90424,64912,59488,62832,63728,419824,47664,56776,64792,65424,66064,68560,85032,72976,81312,87488,84096,410528,73608,93672,107200,96728,101528,95280,102928,74768,72384,94832,102288,412960,46496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160944,128328,112576,125728,128512,144552,130896,113368,125488,109232,79176,403472,52952,59912,61000,56752,63680,66480,60544,57456,62392,62648,56784,412192,48792,52912,45096,49136,52096,59128,55536,56824,60576,62352,62160,410904,58424,57808,73416,85608,106568,102344,127656,133728,130112,129768,142232,402952,128920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149632,99992,113048,111256,118576,85584,86664,98968,131800,100232,142784,343104,145104,136560,162864,149032,157928,154848,131640,126616,131568,129312,129768,353064,118488,113176,108736,130560,141992,123776,117936,118736,122568,83344,102144,354440,91608,103944,94592,88048,119816,118384,123136,99856,120304,117816,119624,346088,135736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160312,157136,143224,116512,125544,118272,121016,119600,134824,149064,153312,344080,127440,129024,129616,137296,125608,134400,136376,136240,131336,129664,137896,346824,145296,150976,143256,139840,129408,130656,124640,139032,140704,144104,150368,323944,150176,155352,155776,152672,140440,150800,144280,139784,143720,125192,137880,328448,128632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149136,101832,102600,100080,104232,105336,117592,124032,135776,133664,137360,313440,131808,129936,139456,137448,129744,134376,154072,149864,172312,154632,150088,336320,129896,129232,97616,101696,114680,115968,95376,108224,125632,123264,88640,343408,89184,91760,89296,122376,106320,133936,151080,146280,145816,128616,126032,347480,106096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117448,117088,107888,101800,105296,101800,114376,107048,114968,123336,129200,333560,107256,124704,130640,124368,136744,118624,194776,133432,148944,150392,148112,345808,78016,108600,78824,83104,102200,119016,123472,140216,128088,142592,155840,341648,154040,141840,140440,128720,130296,133696,160672,119376,142992,130632,96776,349640,86800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228136,149024,83872,148288,168296,185552,197080,222600,219264,118912,197112,481904,198576,153648,188648,213384,214992,192280,181192,202176,194424,194104,210408,490728,182328,161936,140360,125272,175240,154096,153528,135456,153600,182776,216728,486552,186240,152840,206128,167944,115416,129920,144288,163056,125328,121072,126960,489320,206392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250216,247944,229984,168976,172584,148168,173304,163872,174848,168584,235464,486384,125328,173224,198896,139584,173656,153072,189992,209608,198448,194496,221880,481216,200336,213416,215856,193360,206160,206744,209328,176024,126536,160744,220760,482040,212152,146872,197712,219720,242632,225192,239736,220544,214960,181512,213064,485000,179048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243536,204720,171576,174480,99496,143144,147432,132696,99432,147640,155688,506320,107368,141072,114520,149640,122976,172208,227736,184864,143440,173792,124888,493960,85456,184552,159784,201840,197552,216592,215248,80096,159160,178920,126736,506320,120392,178584,247152,78392,175984,233464,196616,80136,164032,140360,127096,499880,220784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46672,39776,45040,34840,51792,52984,43528,38472,48960,49704,53952,180184,52568,59032,60768,62640,63120,57712,63104,63824,54096,54312,52816,152656,52104,54664,65096,60480,62248,65864,62040,61312,59384,58848,58760,161504,61544,62256,67984,65648,57744,55584,51184,53016,53328,55616,61064,157632,52568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
